Date,Open,High,Low,Close,Adj Close,Volume
2012-01-30,253.000000,253.000000,253.000000,253.000000,138.713974,755
2012-01-31,253.000000,253.000000,251.000000,251.000000,137.617462,2551
2012-02-01,253.000000,253.000000,253.000000,253.000000,138.713974,8
2012-02-02,253.000000,253.000000,251.000000,251.000000,137.617462,1691
2012-02-03,252.000000,253.000000,252.000000,253.000000,138.713974,1451
2012-02-06,256.000000,256.000000,255.000000,256.000000,140.358826,2450
2012-02-07,255.500000,255.500000,252.000000,253.500000,138.988129,2820
2012-02-08,254.000000,259.000000,254.000000,254.500000,139.536407,3557
2012-02-09,259.000000,259.500000,258.500000,259.000000,142.003693,3200
2012-02-10,259.500000,260.500000,259.000000,260.000000,142.551941,5690
2012-02-13,267.000000,267.500000,260.000000,260.000000,142.551941,2604
2012-02-14,264.500000,265.500000,263.000000,263.000000,144.196762,3803
2012-02-15,264.000000,264.000000,262.500000,262.500000,143.922638,1354
2012-02-16,264.000000,264.000000,263.000000,264.000000,144.745026,2816
2012-02-17,264.000000,264.500000,263.500000,264.000000,144.745026,2216
2012-02-20,265.000000,265.000000,264.500000,265.000000,145.293320,2175
2012-02-21,266.000000,267.000000,263.000000,263.000000,144.196762,10930
2012-02-22,265.500000,266.000000,264.000000,266.000000,145.841614,3538
2012-02-23,266.000000,268.000000,266.000000,266.000000,145.841614,4715
2012-02-24,266.500000,267.500000,265.000000,266.000000,145.841614,6167
2012-02-27,266.000000,267.000000,265.000000,266.000000,145.841614,9855
2012-02-28,266.000000,267.500000,265.000000,266.000000,145.841614,14258
2012-02-29,266.000000,268.000000,265.500000,266.000000,145.841614,6497
2012-03-01,266.000000,266.500000,265.500000,266.500000,146.115753,7997
2012-03-02,266.000000,266.000000,266.000000,266.000000,145.841614,5226
2012-03-05,267.000000,267.000000,265.500000,266.000000,145.841614,1375
2012-03-06,265.500000,265.500000,264.500000,264.500000,145.019211,26639
2012-03-07,266.000000,266.000000,265.000000,265.000000,145.293320,6127
2012-03-08,266.000000,266.000000,263.000000,266.000000,145.841614,2603
2012-03-09,266.000000,266.000000,265.000000,266.000000,145.841614,19648
2012-03-12,266.000000,266.000000,265.000000,265.000000,145.293320,650
2012-03-13,265.000000,266.000000,265.000000,266.000000,145.841614,3305
2012-03-14,266.000000,266.000000,265.000000,266.000000,145.841614,2070
2012-03-15,266.000000,266.000000,266.000000,266.000000,145.841614,3198
2012-03-16,266.000000,266.500000,266.000000,266.000000,145.841614,5100
2012-03-19,266.000000,267.000000,265.000000,266.000000,145.841614,4264
2012-03-20,266.000000,266.000000,265.000000,265.000000,145.293320,5481
2012-03-21,266.000000,267.000000,266.000000,266.000000,145.841614,1479
2012-03-22,266.000000,266.000000,266.000000,266.000000,145.841614,2175
2012-03-23,265.500000,266.000000,265.500000,266.000000,145.841614,50706
2012-03-26,265.500000,265.500000,265.500000,265.500000,145.567459,10270
2012-03-27,265.000000,265.500000,265.000000,265.500000,145.567459,10975
2012-03-28,264.000000,264.000000,261.000000,262.000000,146.405655,1140
2012-03-29,262.000000,264.000000,261.000000,262.500000,146.685074,4855
2012-03-30,262.000000,262.000000,260.000000,262.000000,146.405655,12865
2012-04-02,262.000000,262.000000,261.500000,262.000000,146.405655,7508
2012-04-03,263.000000,263.000000,262.000000,263.000000,146.964493,5800
2012-04-04,263.000000,263.000000,263.000000,263.000000,146.964493,1896
2012-04-05,262.000000,263.000000,262.000000,263.000000,146.964493,2407
2012-04-10,264.000000,265.500000,263.000000,264.000000,147.523254,1838
2012-04-11,263.000000,263.000000,263.000000,263.000000,146.964493,50
2012-04-12,264.000000,264.500000,262.000000,262.000000,146.405655,2150
2012-04-13,264.000000,266.000000,264.000000,265.000000,148.082031,4005
2012-04-16,265.000000,265.000000,264.000000,264.500000,147.802673,2895
2012-04-17,265.000000,265.000000,264.000000,264.000000,147.523254,7347
